"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dff","dropout_rate","head_dim","learning_rate","n_heads","n_layers","window_size","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_loss","epoch/val_r_square"
"jumping-sweep-39","failed","-","cridonoso","","2023-06-10T07:42:34.000Z","2152","u9aqay8r","2500","64","0.4579017995156677","64","0.00001","1","1","200","9","0.000009999999747378752","0.1401563286781311","0.1665503978729248","0.14115862548351288","0.1599135398864746"
"sweet-sweep-1","finished","-","cridonoso","","2023-06-01T13:06:11.000Z","43786","u9aqay8r","2500","128","0.25375867591525436","64","0.01","1","2","200","126","0.000009999999747378752","0.14346185326576233","0.14142721891403198","0.14301790297031405","0.13821089267730713"
"misty-sweep-32","failed","-","cridonoso","","2023-06-10T01:03:27.000Z","2097","u9aqay8r","2500","16","0.24378113518500832","64","0.0001","1","1","200","9","0.000009999999747378752","0.14907501637935638","0.15376317501068115","0.14357878267765045","0.1332516074180603"
"snowy-sweep-5","failed","-","cridonoso","","2023-06-04T20:41:40.000Z","12886","hvmpmcr4","2500","64","0.4571833324663527","64","0.00001","4","2","200","9","0.000009999999747378752","0.1516849845647812","0.13116824626922607","0.1445859670639038","0.11422955989837646"
"divine-sweep-42","failed","-","cridonoso","","2023-06-10T10:36:26.000Z","2580","u9aqay8r","2500","16","0.0820858970150784","32","0.001","2","1","200","9","0.000009999999747378752","0.1435239166021347","0.11316710710525511","0.14545316994190216","0.1162971258163452"
"dauntless-sweep-39","failed","-","cridonoso","","2023-06-08T21:18:34.000Z","3413","q1ntly1t","2500","64","0.2026469272400352","16","0.00001","4","1","200","9","0.000009999999747378752","0.14388050138950348","0.12296879291534424","0.14559154212474823","0.10227859020233154"
"solar-sweep-17","failed","-","cridonoso","","2023-06-10T04:42:27.000Z","2161","hvmpmcr4","2500","64","0.03198156091337545","64","0.001","1","1","200","9","0.000009999999747378752","0.145651176571846","0.13944226503372192","0.14573661983013153","0.12455236911773682"
"earnest-sweep-34","failed","-","cridonoso","","2023-06-10T02:53:27.000Z","2638","u9aqay8r","2500","64","0.06730363763956498","32","0.00001","2","1","200","9","0.000009999999747378752","0.14824315905570984","0.11707359552383424","0.14623108506202698","0.09039855003356934"
"feasible-sweep-26","failed","-","cridonoso","","2023-06-07T20:19:35.000Z","6891","q1ntly1t","2500","16","0.26448830078772895","64","0.001","2","2","200","9","0.000009999999747378752","0.15086178481578827","0.07062721252441406","0.14759013056755066","0.07118219137191772"
"dauntless-sweep-10","failed","-","cridonoso","","2023-06-05T04:55:26.000Z","1558","q1ntly1t","2500","128","0.2228550865946775","32","0.001","1","1","200","9","0.000009999999747378752","0.1477008759975433","0.07801848649978638","0.14766596257686615","0.06618034839630127"
"stellar-sweep-38","failed","-","cridonoso","","2023-06-10T05:22:29.000Z","8405","u9aqay8r","2500","64","0.2229622817521258","32","0.001","4","2","200","9","0.000009999999747378752","0.14912177622318268","0.11155962944030762","0.14793744683265686","0.1092926859855652"
"vague-sweep-26","failed","-","cridonoso","","2023-06-07T05:34:30.000Z","1469","u9aqay8r","2500","32","0.0924321089500098","32","0.01","1","1","200","9","0.000009999999747378752","0.14422298967838287","0.06277692317962646","0.14838692545890808","0.04879200458526611"
"scarlet-sweep-28","failed","-","cridonoso","","2023-06-07T09:32:34.000Z","8396","u9aqay8r","2500","64","0.41894484024839257","32","0.001","4","2","200","9","0.000009999999747378752","0.15013659000396729","0.07209962606430054","0.1483934074640274","0.07879042625427246"
"misunderstood-sweep-6","failed","-","cridonoso","","2023-06-04T00:24:03.000Z","6863","q1ntly1t","2500","16","0.33051106944154585","64","0.01","2","2","200","9","0.000009999999747378752","0.14740385115146637","0.1096729040145874","0.14848974347114563","0.0947604775428772"
"iconic-sweep-45","failed","-","cridonoso","","2023-06-09T03:21:26.000Z","1860","q1ntly1t","2500","16","0.15744142384063764","16","0.01","2","1","200","9","0.000009999999747378752","0.14557887613773346","0.054995596408843994","0.14855371415615082","0.05426090955734253"
"warm-sweep-20","failed","-","cridonoso","","2023-06-06T20:04:27.000Z","5943","u9aqay8r","2500","64","0.4919284014120977","16","0.001","4","2","200","9","0.000009999999747378752","0.14750592410564425","0.05704528093338013","0.14873762428760529","0.05759412050247192"
"avid-sweep-46","failed","-","cridonoso","","2023-06-09T03:52:28.000Z","1504","q1ntly1t","2500","64","0.207092229637664","32","0.01","1","1","200","9","0.000009999999747378752","0.15540006756782532","0.057004332542419434","0.14877815544605255","0.06124997138977051"
"kind-sweep-37","failed","-","cridonoso","","2023-06-10T04:49:24.000Z","1982","u9aqay8r","2500","128","0.3917248005440184","16","0.001","2","1","200","9","0.000009999999747378752","0.15219207108020782","0.06309938430786133","0.14882856607437134","0.06277018785476685"
"noble-sweep-37","failed","-","cridonoso","","2023-06-08T14:09:32.000Z","1560","q1ntly1t","2500","128","0.24539625735587528","32","0.00001","1","1","200","9","0.000009999999747378752","0.15233632922172546","0.07064837217330933","0.1488291174173355","0.0547635555267334"
"devoted-sweep-21","failed","-","cridonoso","","2023-06-06T21:43:34.000Z","1133","u9aqay8r","2500","32","0.2114988554230692","16","0.0001","1","1","200","9","0.000009999999747378752","0.16184797883033752","0.04072284698486328","0.14883942902088165","0.042855143547058105"
"glad-sweep-8","failed","-","cridonoso","","2023-06-05T14:34:32.000Z","1975","u9aqay8r","2500","128","0.4949371158703404","16","0.01","2","1","200","9","0.000009999999747378752","0.15366490185260773","0.05658555030822754","0.1489722728729248","0.05364859104156494"
"morning-sweep-17","failed","-","cridonoso","","2023-06-05T12:04:31.000Z","6064","q1ntly1t","2500","128","0.37435906475052094","16","0.001","4","2","200","9","0.000009999999747378752","0.14671337604522705","0.05274057388305664","0.14929059147834778","0.06215465068817139"
"desert-sweep-31","failed","-","cridonoso","","2023-06-09T23:51:04.000Z","4340","u9aqay8r","2500","32","0.47534915812947126","32","0.0001","2","2","200","9","0.000009999999747378752","0.15058080852031708","0.06302279233932495","0.14931519329547882","0.05325150489807129"
"misunderstood-sweep-25","failed","-","cridonoso","","2023-06-07T03:14:32.000Z","8399","u9aqay8r","2500","64","0.33242622424668006","32","0.00001","4","2","200","9","0.000009999999747378752","0.14915525913238523","0.05582541227340698","0.14942710101604462","0.05121409893035889"
