"Name","State","Notes","User","Tags","Created","Runtime","Sweep","clf_name","dataset_to_ft","dff","dropout_rate","fold","head_dim","learning_rate","n_heads","n_layers","paths","rand","clf","epoch/accuracy","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/val_accuracy","epoch/val_loss","epoch/val_r_square","ft_dataset","probed","window_size","test_f1","test_precision","test_recall"
"hopeful-sweep-20","finished","-","cridonoso","","2023-06-20T19:54:24.000Z","167","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/200","0.2","mlp_att","0.976190447807312","253","0.000009999999747378752","0.26374098658561707","0.6227425932884216","0.699999988079071","0.7468307614326477","0.6461498737335205","./data/records/atlas/fold_1/atlas_20","0.5","200","0.6021015307137139","0.6004291368939222","0.605435068621352"
"firm-sweep-14","finished","-","cridonoso","","2023-06-21T20:07:36.000Z","148","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.50","0.2","mlp_att","0.7976190447807312","189","0.000009999999747378752","0.5665755271911621","0.669119119644165","0.6499999761581421","0.7886402010917664","0.6253814697265625","./data/records/atlas/fold_1/atlas_20","0.50","200","0.5996064889014626","0.610213524655128","0.5921592138697291"
"pious-sweep-14","finished","-","cridonoso","","2023-06-20T19:50:29.000Z","168","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.50","0.2","mlp_att","0.8571428656578064","271","0.000009999999747378752","0.4298832714557648","0.6862303614616394","0.6499999761581421","0.8148823976516724","0.6174359321594238","./data/records/atlas/fold_1/atlas_20","0.50","200","0.597586307762061","0.6052608108901014","0.5920197548239894"
"swift-sweep-17","finished","-","cridonoso","","2023-06-21T20:11:32.000Z","225","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/1.00","0.2","mlp_att","0.8571428656578064","230","0.000009999999747378752","0.5047630667686462","0.6347434520721436","0.6000000238418579","0.8493990898132324","0.6087400913238525","./data/records/atlas/fold_1/atlas_20","1.00","200","0.5954391306512278","0.6120484977075301","0.5887833226627297"
"absurd-sweep-12","finished","-","cridonoso","","2023-06-20T19:48:21.000Z","140","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/0.20","0.2","mlp_att","0.8809523582458496","193","0.000009999999747378752","0.4848446249961853","0.6086785793304443","0.550000011920929","0.9881517291069032","0.4609640836715698","./data/records/atlas/fold_1/atlas_20","0.20","200","0.5951952437044654","0.6013170924935631","0.5922483318491218"
"sage-sweep-17","finished","-","cridonoso","","2023-06-20T19:51:47.000Z","171","bes7q1fe","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","masking/1.00","0.2","mlp_att","0.7976190447807312","276","0.000009999999747378752","0.6163418889045715","0.6380634307861328","0.699999988079071","0.8716523051261902","0.5975172519683838","./data/records/atlas/fold_1/atlas_20","1.00","200","0.5936326215870025","0.6082701586297815","0.5867932327213303"
"frosty-sweep-20","finished","-","cridonoso","","2023-06-21T20:15:22.000Z","335","dp72vzu8","mlp_att","atlas","64","0.3955","1","64","0.00001","4","1","winsize/200","0.2","mlp_att","0.988095223903656","347","0.000009999999747378752","0.1540232002735138","0.6263489723205566","0.6000000238418579","0.7609020471572876","0.6363394856452942","./data/records/atlas/fold_1/atlas_20","0.5","200","0.590322966148603","0.5884497430408479","0.599289014961214"
"kind-sweep-23","finished","-","cridonoso","","2023-06-21T20:21:01.000Z","186","dp72vzu8","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","masking/0.20","0.2","mlp_att","0.8641975522041321","178","0.000009999999747378752","0.5154537558555603","0.6352955102920532","0.6000000238418579","1.057408571243286","0.49753338098526","./data/records/atlas/fold_2/atlas_20","0.20","200","0.5893895476504172","0.5927476351062921","0.5889476121362914"
"cosmic-sweep-23","finished","-","cridonoso","","2023-06-20T19:56:54.000Z","141","bes7q1fe","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","masking/0.20","0.2","mlp_att","0.9012345671653748","192","0.000009999999747378752","0.5487342476844788","0.6339921355247498","0.5","1.1186593770980835","0.5153124332427979","./data/records/atlas/fold_2/atlas_20","0.20","200","0.5888014060879928","0.5908100066620747","0.59459333748013"
"fragrant-sweep-33","finished","-","cridonoso","","2023-06-20T20:03:32.000Z","138","bes7q1fe","mlp_att","atlas","64","0.3955","2","64","0.00001","4","1","winsize/800","0.2","mlp_att","0.862500011920929","181","0.000009999999747378752","0.4308646619319916","0.6634236574172974","0.6000000238418579","1.1654051542282104","0.5670760869979858","./data/records/atlas/fold_2/atlas_20","0.5","800","0.5860479349678772","0.5923292559143256","0.582"
