"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","clf_name","dff","dropout_rate","fold","head_dim","learning_rate","n_epochs","n_heads","n_layers","nsp_fraction","nsp_prob","probed","pt_data","rand","subdataset","window_size","epoch/acc","epoch/accuracy","epoch/bce","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/r_square","epoch/rmse","epoch/val_acc","epoch/val_accuracy","epoch/val_bce","epoch/val_loss","epoch/val_r_square","epoch/val_rmse","test_acc","test_bce","test_f1","test_precision","test_r2","test_recall","test_rmse"
"distinctive-sweep-7","finished","-","cridonoso","","2023-06-28T08:41:21.000Z","144","bxwayaal","2500","mlp_cls","64","0.3955","0","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.6296296119689941","","162","0.0010000000474974513","0.968309760093689","","","","0.3636363744735718","","1.3862512111663818","","","","","0.41667429261034866","0.4207748440885264","","0.43587472978403874",""
"lucky-sweep-18","finished","-","cridonoso","","2023-06-28T10:32:28.000Z","3170","bxwayaal","2500","mlp_att_lite","64","0.3955","2","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.5721784830093384","","3645","0.0010000000474974513","1.217097520828247","","","","0.4479166567325592","","1.4489840269088743","","","","","0.4041123977641915","0.4259367442814316","","0.409025235069188",""
"lyric-sweep-11","finished","-","cridonoso","","2023-06-28T08:47:54.000Z","149","bxwayaal","2500","mlp_cls","64","0.3955","2","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.7777777910232544","","161","0.0010000000474974513","0.8189067244529724","","","","0.4000000059604645","","1.2351300716400146","","","","","0.401450888122809","0.4009649063523586","","0.4158984311286199",""
"clear-sweep-6","finished","-","cridonoso","","2023-06-28T08:35:49.000Z","330","bxwayaal","2500","mlp_att","64","0.3955","2","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","0.7244094610214233","0.443569540977478","0.5839656591415405","245","0.0010000000474974513","1.4567691087722778","0.5738493204116821","0.15192222595214844","0.6145833134651184","0.375","0.6525160670280457","1.464588642120361","0.5935006737709045","0.1009458228945732","0.6534823775291443","0.633913516998291","0.3839067260137143","0.443287747882891","0.6300009489059448","0.3915206568155458","0.1520223319530487"
"frosty-sweep-1","finished","-","cridonoso","","2023-06-26T02:09:05.000Z","78053","ild4h48p","2500","mlp_att","64","0.3955","0","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","0.7407407164573669","0.4938271641731262","0.5530598759651184","38","0.0010000000474974513","1.1114031076431274","0.5578469038009644","0.260486364364624","0.6363636255264282","0.22727273404598236","0.5775661468505859","1.4475374221801758","0.637897253036499","0.22964602708816528","0.7222222089767456","0.5575830936431885","0.3712882325121506","0.33093178634108344","0.5223438739776611","0.4634840958605665","0.32409197092056274"
"breezy-sweep-9","finished","-","cridonoso","","2023-06-28T08:45:21.000Z","65","bxwayaal","2500","mlp_cls","64","0.3955","1","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","atlas","200","","0.6190476417541504","","58","0.0010000000474974513","1.0855809450149536","","","","0.4000000059604645","","1.4225211143493652","","","","","0.3674565272959165","0.3892183367542392","","0.36892386412482614",""
"smooth-sweep-14","finished","-","cridonoso","","2023-06-28T09:37:44.000Z","1298","bxwayaal","2500","mlp_att_lite","64","0.3955","0","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.5","","1249","0.0010000000474974513","1.3603066205978394","","","","0.4421052634716034","","1.4320273399353027","","","","","0.3546622651821922","0.3693380906456387","","0.3555904906055309",""
"exalted-sweep-2","finished","-","cridonoso","","2023-06-28T08:22:22.000Z","325","bxwayaal","2500","mlp_att","64","0.3955","0","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","0.6878140568733215","0.5","0.6160216331481934","292","0.0010000000474974513","1.2521592378616333","0.6302176713943481","0.13177768886089325","0.621052622795105","0.5473684072494507","0.6608579158782959","1.3530676364898682","0.6802285313606262","0.09611157327890396","0.6628701686859131","0.6240065693855286","0.3335461601430128","0.3530434870847193","0.6141119599342346","0.33630928486595707","0.14852948486804962"
"breezy-sweep-14","finished","-","cridonoso","","2023-06-27T00:27:28.000Z","1054","ild4h48p","2500","mlp_att_lite","64","0.3955","0","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.402010053396225","","1421","0.0010000000474974513","1.4869126081466677","","","","0.4421052634716034","","1.5101497173309326","","","","","0.31005122383812755","0.33006264971607546","","0.3149260326744087",""
"graceful-sweep-6","finished","-","cridonoso","","2023-06-27T00:00:04.000Z","198","ild4h48p","2500","mlp_att","64","0.3955","2","64","0.00001","10000","4","1","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","0.6253280639648438","0.4015747904777527","0.6545875072479248","160","0.0010000000474974513","1.567204236984253","0.48836880922317505","0.16343583166599274","0.625","0.2708333432674408","0.6773205399513245","1.699384331703186","0.46015429496765137","0.13576266169548035","0.6014617085456848","0.6631036400794983","0.2989541702019827","0.37190280520268976","0.5029745697975159","0.32772150954512674","0.16451579332351685"
"pleasant-sweep-12","finished","-","cridonoso","","2023-06-28T08:50:25.000Z","140","bxwayaal","2500","mlp_cls","64","0.3955","2","64","0.00001","10000","4","2","0.5","0.5","0.4","./data/records/macho_clean","0.2","alcock","200","","0.4330708682537079","","141","0.0010000000474974513","1.4425315856933594","","","","0.375","","1.5661859512329102","","","","","0.28634430510578673","0.2836931926992684","","0.2979026756289774",""
